time_period,time,duration,amplitude
18:00:00,18:53:58,18.0,13.124999999991616
18:00:00,18:55:46,108.0,-3.124999999992717
18:00:00,18:57:09,83.0,3.124999999992717
18:00:00,18:57:16,7.0,-3.124999999992717
18:00:00,18:57:17,1.0,3.124999999992717
18:00:00,18:57:18,1.0,-3.124999999992717
18:00:00,18:57:19,1.0,3.124999999992717
18:00:00,18:57:20,1.0,-3.124999999992717
18:00:00,18:57:21,1.0,3.124999999992717
18:00:00,18:57:28,7.0,-3.124999999992717
18:00:00,18:57:29,1.0,3.124999999992717
18:00:00,18:00:04,3.0,-11.25000000002374
18:00:00,18:00:08,4.0,10.000000000010001
18:00:00,18:00:09,1.0,-3.124999999992717
18:00:00,18:00:13,4.0,3.124999999992717
18:00:00,18:00:15,2.0,-6.249999999985434
18:00:00,18:00:17,2.0,6.249999999985434
18:00:00,18:01:09,52.0,-6.249999999985434
18:00:00,18:01:10,1.0,4.999999999999449
18:00:00,18:01:12,2.0,-8.125000000006043
18:00:00,18:01:15,3.0,6.249999999999312
18:00:00,18:01:20,5.0,-3.124999999992717
18:00:00,18:01:24,4.0,3.124999999992717
18:00:00,18:01:49,25.0,-3.124999999992717
18:00:00,18:01:51,2.0,4.999999999999449
18:00:00,18:01:52,1.0,-4.999999999999449
18:00:00,18:01:55,3.0,4.999999999999449
18:00:00,18:02:01,6.0,-4.999999999999449
18:00:00,18:02:05,4.0,4.999999999999449
18:00:00,18:04:23,138.0,-9.999999999998899
18:00:00,18:07:53,210.0,20.624999999990788
18:00:00,18:08:07,14.0,-3.124999999992717
18:00:00,18:08:32,25.0,6.249999999985434
18:00:00,18:09:18,46.0,-6.249999999985434
18:00:00,18:11:34,136.0,8.124999999992166
18:00:00,18:12:30,56.0,-4.999999999999449
18:00:00,18:12:31,1.0,3.124999999992717
18:00:00,18:13:34,63.0,-6.249999999985434
18:00:00,18:15:35,121.0,6.249999999985434
18:00:00,18:16:44,69.0,-3.124999999992717
18:00:00,18:18:37,113.0,9.375000000005906
18:00:00,18:20:52,135.0,-3.124999999992717
18:00:00,18:20:56,4.0,3.124999999992717
18:00:00,18:21:39,43.0,-3.124999999992717
18:00:00,18:21:47,8.0,3.124999999992717
18:00:00,18:22:18,31.0,-3.124999999992717
18:00:00,18:24:08,110.0,6.249999999985434
18:00:00,18:25:36,88.0,-6.249999999985434
18:00:00,18:25:38,2.0,3.124999999992717
18:00:00,18:26:28,50.0,-3.124999999992717
18:00:00,18:27:31,63.0,8.124999999992166
18:00:00,18:27:32,1.0,-3.124999999992717
