,time_period,time,duration,amplitude
103,22:00:00,20:02:04,16.0,12.074999999996116
104,22:00:00,20:02:10,6.0,-1.8749999999886917
105,22:00:00,20:02:13,3.0,3.3999999999950727
106,22:00:00,20:02:16,3.0,-4.9250000000014555
107,22:00:00,20:02:23,7.0,4.9250000000014555
108,22:00:00,20:02:49,26.0,-3.3999999999950736
109,22:00:00,20:02:54,5.0,3.3999999999950736
110,22:00:00,20:03:01,7.0,-3.3999999999950736
111,22:00:00,20:03:07,6.0,3.3999999999950736
112,22:00:00,20:03:08,1.0,-3.3999999999950736
113,22:00:00,20:03:13,5.0,3.3999999999950736
114,22:00:00,20:03:57,44.0,-3.3999999999950736
115,22:00:00,20:03:59,2.0,3.3999999999950736
116,22:00:00,20:04:05,6.0,-3.3999999999950736
117,22:00:00,20:05:02,57.0,10.199999999985224
118,22:00:00,20:05:11,9.0,-6.799999999990149
119,22:00:00,20:05:14,3.0,3.3999999999950745
120,22:00:00,20:05:15,1.0,-3.3999999999950745
121,22:00:00,20:05:39,24.0,6.799999999990149
122,22:00:00,20:05:57,18.0,-6.799999999990149
123,22:00:00,20:06:02,5.0,3.3999999999950745
124,22:00:00,20:06:30,28.0,-3.3999999999950745
125,22:00:00,20:06:37,7.0,6.799999999990149
126,22:00:00,20:06:55,18.0,-3.3999999999950745
127,22:00:00,20:07:42,47.0,3.3999999999950745
128,22:00:00,20:07:43,1.0,-3.3999999999950745
129,22:00:00,20:07:47,4.0,3.3999999999950745
130,22:00:00,20:08:48,61.0,-10.199999999985224
131,22:00:00,20:08:49,1.0,3.3999999999950736
132,22:00:00,20:09:22,33.0,-6.80000000000125
133,22:00:00,20:09:25,3.0,3.400000000006176
134,22:00:00,20:10:01,36.0,-3.4000000000061763
135,22:00:00,20:12:42,161.0,6.800000000001251
136,22:00:00,20:12:55,13.0,-3.3999999999950736
137,22:00:00,20:13:10,15.0,3.3999999999950736
138,22:00:00,20:14:29,79.0,-6.80000000000125
139,22:00:00,20:14:35,6.0,6.80000000000125
140,22:00:00,20:14:36,1.0,-3.3999999999950736
141,22:00:00,20:14:48,12.0,16.99999999999064
142,22:00:00,20:14:57,9.0,-6.8000000000054115
143,22:00:00,20:15:04,7.0,3.4000000000103405
144,22:00:00,20:15:05,1.0,-3.4000000000103405
145,22:00:00,20:15:31,26.0,17.000000000012832
146,22:00:00,20:15:32,1.0,-3.4000000000061767
147,22:00:00,20:15:34,2.0,6.800000000001251
148,22:00:00,20:15:38,4.0,-6.800000000001251
149,22:00:00,20:15:43,5.0,6.800000000001251
150,22:00:00,20:15:44,1.0,-3.3999999999950745
151,22:00:00,20:15:46,2.0,3.3999999999950745
152,22:00:00,20:15:56,10.0,-6.800000000001251
153,22:00:00,20:16:17,21.0,6.800000000001251
154,22:00:00,20:16:18,1.0,-3.3999999999950745
155,22:00:00,20:16:24,6.0,10.199999999996322
156,22:00:00,20:16:33,9.0,-6.800000000001248
157,22:00:00,20:16:39,6.0,3.3999999999950745
158,22:00:00,20:16:40,1.0,-3.3999999999950745
159,22:00:00,20:16:58,18.0,10.199999999996322
160,22:00:00,20:17:04,6.0,-3.3999999999950745
161,22:00:00,20:17:07,3.0,3.3999999999950745
162,22:00:00,20:17:37,30.0,-13.599999999991397
163,22:00:00,20:17:38,1.0,3.3999999999950745
164,22:00:00,20:18:01,23.0,-6.800000000001244
165,22:00:00,20:18:12,11.0,6.800000000001244
166,22:00:00,20:18:24,12.0,-3.3999999999950674
167,22:00:00,20:19:01,37.0,5.2749999999948685
168,22:00:00,20:20:24,83.0,-15.475000000002296
169,22:00:00,20:20:29,5.0,3.4000000000061767
170,22:00:00,20:21:47,78.0,-10.200000000011588
171,22:00:00,20:22:02,15.0,3.400000000010337
172,22:00:00,20:22:17,15.0,-1.5249999999994444
173,22:00:00,20:22:41,24.0,1.5249999999994444
174,22:00:00,20:23:23,42.0,-6.8000000000054115
175,22:00:00,19:55:57,14.0,6.52499999999473
176,22:00:00,19:57:44,107.0,-3.124999999999656
177,22:00:00,19:59:25,101.0,3.2249999999942047
178,22:00:00,20:02:13,168.0,-3.525000000000056
179,22:00:00,20:02:16,3.0,3.2249999999942047
180,22:00:00,20:02:23,7.0,-3.2249999999942047
181,22:00:00,20:03:01,38.0,0.0999999999945489
182,22:00:00,20:03:13,12.0,-0.0999999999945489
183,22:00:00,20:04:05,52.0,0.0999999999945489
184,22:00:00,20:05:02,57.0,-0.2999999999947489
185,22:00:00,20:05:15,13.0,0.20000000000020002
186,22:00:00,20:05:39,24.0,-0.20000000000020002
187,22:00:00,20:06:30,51.0,0.20000000000020002
188,22:00:00,20:06:37,7.0,-0.20000000000020002
189,22:00:00,20:06:55,18.0,0.10000000000565112
190,22:00:00,20:08:23,88.0,0.0
191,22:00:00,20:09:03,40.0,3.2249999999942047
192,22:00:00,20:12:42,219.0,-3.124999999999656
193,22:00:00,20:12:55,13.0,0.0999999999945489
194,22:00:00,20:13:59,64.0,0.0
195,22:00:00,20:14:29,30.0,0.10000000000565112
196,22:00:00,20:14:48,19.0,-0.5999999999964363
197,22:00:00,20:14:58,10.0,3.225000000001144
198,22:00:00,20:15:46,48.0,-3.6250000000015437
199,22:00:00,20:15:56,10.0,0.1999999999890978
200,22:00:00,20:16:24,28.0,-0.3999999999892978
201,22:00:00,20:16:40,16.0,0.20000000000020002
202,22:00:00,20:17:07,27.0,-0.2999999999947489
203,22:00:00,20:17:12,5.0,3.2249999999942047
204,22:00:00,20:17:19,7.0,-3.025000000005107
205,22:00:00,20:17:43,24.0,3.225000000005307
206,22:00:00,20:18:12,29.0,-3.124999999999656
207,22:00:00,20:18:27,15.0,3.124999999999656
208,22:00:00,20:19:34,67.0,-3.025000000005107
209,22:00:00,20:20:22,48.0,3.324999999999856
210,22:00:00,20:20:29,7.0,-3.124999999999656
211,22:00:00,20:21:47,78.0,0.30000000000168825
212,22:00:00,20:22:02,15.0,-0.10000000000148823
213,22:00:00,20:22:17,15.0,3.1250000000065947
