duration,amplitude,conditional_distribution
1.0,-9.9999999999989,0.16666666666666666
1.0,-4.999999999999449,0.16666666666666666
1.0,4.999999999999449,0.16666666666666666
1.0,6.250000000013187,0.16666666666666666
1.0,9.9999999999989,0.3333333333333333
2.0,-8.125000000006043,0.14285714285714288
2.0,-8.124999999992166,0.14285714285714288
2.0,-6.249999999985434,0.14285714285714288
2.0,3.1250000000204725,0.14285714285714288
2.0,4.999999999999449,0.14285714285714288
2.0,6.249999999985434,0.14285714285714288
2.0,8.124999999992166,0.14285714285714288
3.0,-11.25000000002374,0.14285714285714288
3.0,4.999999999999449,0.28571428571428575
3.0,6.2499999999993125,0.28571428571428575
3.0,6.250000000013187,0.28571428571428575
4.0,4.999999999999449,0.5
4.0,6.249999999985434,0.5
6.0,-4.999999999999449,1.0
8.0,3.1250000000204725,0.5
8.0,8.125000000003267,0.5
9.0,-6.250000000013187,0.5
9.0,10.000000000010001,0.5
14.0,-11.875000000016732,0.25
14.0,-9.9999999999989,0.25
14.0,-3.1250000000204725,0.25
14.0,-3.124999999992717,0.25
18.0,-8.125000000003267,0.3333333333333333
18.0,-8.124999999992166,0.3333333333333333
18.0,13.124999999991616,0.3333333333333333
20.0,0.0,0.3333333333333333
20.0,6.249999999985434,0.6666666666666666
21.0,-6.250000000013187,1.0
23.0,-11.25000000002374,1.0
24.0,6.250000000013189,1.0
25.0,6.249999999985434,1.0
28.0,-6.249999999985434,0.5
28.0,9.9999999999989,0.5
30.0,-6.249999999985434,0.5
30.0,3.124999999992717,0.5
34.0,-3.124999999992717,1.0
35.0,-9.9999999999989,0.3333333333333333
35.0,-3.1250000000204725,0.3333333333333333
35.0,3.124999999992717,0.3333333333333333
36.0,8.124999999992166,1.0
46.0,-6.249999999985434,1.0
48.0,-13.125000000002718,1.0
50.0,-9.9999999999989,0.5
50.0,8.125000000003267,0.5
52.0,-6.249999999985434,1.0
53.0,-3.124999999992717,1.0
59.0,6.875000000006183,1.0
65.0,8.124999999992166,1.0
69.0,-3.124999999992717,1.0
83.0,-4.999999999999449,0.5
83.0,3.124999999992717,0.5
108.0,-3.124999999992717,1.0
110.0,6.249999999985434,1.0
113.0,9.375000000005906,1.0
120.0,-8.124999999992166,1.0
121.0,6.249999999985434,1.0
136.0,8.124999999992166,1.0
138.0,-9.9999999999989,1.0
140.0,-6.249999999985434,1.0
155.0,-6.250000000013189,1.0
210.0,20.62499999999079,1.0
211.0,-9.375000000005906,1.0
221.0,-3.124999999992717,1.0
416.0,3.1250000000204725,1.0
