,"(-11.42, -11.08]","(-10.057, -9.716]","(-8.352, -8.011]","(-6.307, -5.966]","(-5.284, -4.943]","(2.898, 3.239]","(4.943, 5.284]","(5.966, 6.307]","(8.011, 8.352]","(9.716, 10.057]","(-12.102, -11.761]","(-3.239, -2.898]","(-0.17, 0.17]","(13.125, 13.466]","(-13.125, -12.784]","(6.648, 6.989]","(9.375, 9.716]","(20.284, 20.625]","(-9.375, -9.034]"
0,0.0072992700729927005,0.014598540145985401,0.029197080291970802,0.014598540145985401,0.014598540145985401,0.014598540145985401,0.058394160583941604,0.072992700729927,0.014598540145985401,0.029197080291970802,,,,,,,,,
1,,,,0.014598540145985401,0.014598540145985401,0.014598540145985401,,,0.014598540145985401,0.014598540145985401,,,,,,,,,
2,,0.014598540145985401,,,,,,,,,0.014598540145985401,0.029197080291970802,,,,,,,
3,,,0.029197080291970802,0.014598540145985401,,,,0.014598540145985401,,,,,0.0072992700729927005,0.014598540145985401,,,,,
4,0.0072992700729927005,,,,,,,0.029197080291970802,,,,,,,,,,,
5,,,,0.029197080291970802,,0.014598540145985401,,,,0.014598540145985401,,,,,,,,,
6,,,,,,,,,,,,0.014598540145985401,,,,,,,
7,,0.014598540145985401,,,,0.014598540145985401,,,0.014598540145985401,,,0.014598540145985401,,,,,,,
8,,,,0.014598540145985401,,,,,,,,,,,,,,,
9,,0.014598540145985401,,,,,,,0.014598540145985401,,,,,,0.014598540145985401,,,,
10,,,,0.014598540145985401,,,,,,,,0.014598540145985401,,,,,,,
11,,,,,,,,,,,,,,,,0.014598540145985401,,,
12,,,,,,,,,0.014598540145985401,,,,,,,,,,
13,,,,,,,,,,,,0.014598540145985401,,,,,,,
14,,,,,0.014598540145985401,0.014598540145985401,,,,,,,,,,,,,
15,,,,,,,,,,,,0.014598540145985401,,,,,,,
16,,,,,,,,0.014598540145985401,,,,,,,,,0.014598540145985401,,
17,,,0.014598540145985401,,,,,0.014598540145985401,,,,,,,,,,,
18,,0.014598540145985401,,,,,,,0.014598540145985401,,,,,,,,,,
19,,,,0.014598540145985401,,,,,,,,,,,,,,,
20,,,,0.014598540145985401,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,0.014598540145985401,
22,,,,,,,,,,,,,,,,,,,0.014598540145985401
23,,,,,,,,,,,,0.014598540145985401,,,,,,,
24,,,,,,0.014598540145985401,,,,,,,,,,,,,
25,0.014598540145985401,0.072992700729927,0.072992700729927,0.1313868613138686,0.043795620437956206,0.0875912408759124,0.058394160583941604,0.14598540145985403,0.0875912408759124,0.058394160583941604,0.014598540145985401,0.1167883211678832,0.0072992700729927005,0.014598540145985401,0.014598540145985401,0.014598540145985401,0.014598540145985401,0.014598540145985401,0.014598540145985401
