,2018-09-06 00:00:00,2018-09-06 00:00:00,2018-09-06 00:00:00,2018-09-07 00:00:00,2018-09-07 00:00:00,2018-09-07 00:00:00,time
,6AU8_6BU8,6AU8_6CU8,6BU8_6CU8,6AU8_6BU8,6AU8_6CU8,6BU8_6CU8,
0,0.0,0.0,0.0,0.0,0.0,0.0,18:00:00
1,0.0,0.0,0.0,0.0,0.0,0.0,18:00:01
2,-5.000000000010552,-1.8750000000039568,3.1250000000065947,-5.000000000010552,-1.8750000000039568,3.1250000000065947,18:00:02
3,-8.125000000017145,-1.8750000000039568,8.125000000017145,-8.125000000017145,-1.8750000000039568,8.125000000017145,18:00:03
4,-11.25000000002374,-1.8750000000039568,13.125000000027697,-11.25000000002374,-1.8750000000039568,13.125000000027697,18:00:04
5,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:05
6,-4.375000000006455,1.874999999999793,11.875000000009791,-4.375000000006455,1.874999999999793,11.875000000009791,18:00:06
7,-4.375000000006455,1.874999999999793,11.875000000009791,-4.375000000006455,1.874999999999793,11.875000000009791,18:00:07
8,-1.2500000000137383,1.874999999999793,6.875000000021444,-1.2500000000137383,1.874999999999793,6.875000000021444,18:00:08
9,-4.375000000006455,1.874999999999793,11.875000000009791,-4.375000000006455,1.874999999999793,11.875000000009791,18:00:09
10,-1.2500000000137383,1.874999999999793,6.875000000021444,-1.2500000000137383,1.874999999999793,6.875000000021444,18:00:10
11,-1.2500000000137383,1.874999999999793,6.875000000021444,-1.2500000000137383,1.874999999999793,6.875000000021444,18:00:11
12,-1.2500000000137383,1.874999999999793,6.875000000021444,-1.2500000000137383,1.874999999999793,6.875000000021444,18:00:12
13,-1.2500000000137383,1.874999999999793,6.875000000021444,-1.2500000000137383,1.874999999999793,6.875000000021444,18:00:13
14,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:14
15,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:15
16,-4.375000000006455,1.874999999999793,11.875000000009791,-4.375000000006455,1.874999999999793,11.875000000009791,18:00:16
17,-1.2500000000137383,1.874999999999793,6.875000000021444,-1.2500000000137383,1.874999999999793,6.875000000021444,18:00:17
18,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:18
19,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:19
20,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:20
21,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:21
22,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:22
23,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:23
24,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:24
25,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:25
26,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:26
27,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:27
28,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:28
29,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:29
30,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:30
31,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:31
32,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:32
33,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:33
34,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:34
35,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:35
36,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:36
37,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:37
38,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:38
39,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:39
40,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:40
41,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:41
42,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:42
43,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:43
44,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:44
45,-7.499999999999172,1.874999999999793,16.87499999999814,-7.499999999999172,1.874999999999793,16.87499999999814,18:00:45
